id	top_words
113	alt,alternative,rock,indie,alternative indie,alt nation,classic,rock indie,alternative rock,nation
114	alternative,work,alt rock,alternative rock,relax,clean,trip,road,sister,birthday
115	love,sex,chill,mood,weeknd,slow,baby,life,xxx,vibe
116	chill,lyrics,love,kms,jus,search,vibe,sap,drift,aint
117	chill,love,throwback,happy,acoustic,trip,road,kind,relax,cuz
118	chill,november,sunshine,travel,compilation,vibe,moment,lot,winter,strut
119	rap,workout,eminem,gym,work,hype,pump,beat,hard,rap rap
120	worst,pretend,lil,single,represents,confident,listened,pride,personal,lamar
121	chill,roadtrip,seventeen,ready,coffee,room,blue,lala,political,diversity
122	chill,love,pill,slaps,gay,red,blues,hype,chill pill,dope
123	july,rides,car rides,lot,happy,car,hannah,rlly,ago,isabella
124	chill,tf,bro,calm,poppy,relaxin,relax,charlie,chill tf,basement
125	acoustic,early,characters,title,lil,memories,creative,relax,photo,edgy
126	chill,indie,rock,love,sad,mood,mind,soft,clouds,heart
127	jazz,sweet sweet,soulmate,nostalgic,adding,remind,hip,hop,winter,meh
128	chill,love,study,indie,lineup,started,house,butter,float,peanut butter
129	hanging,beach bum,beach,mind,lights,home,remind,goodness,tour,summertime
130	love,power,chill,idk,august,girl,ready,daniel,break,sis
131	zimmer,glass animals,big mood,beyonce,club,bon,door,bastille,coachella,banks
132	chill,gerald,eazy,rap,hop,hip,mood,hip hop,downtown,small
133	rap,party,hype,hop,litty,fire,hip,hip hop,chill,car
134	love,dog,happy,wtf,september,sad,july,october,idk,chill
135	honey,sam,necessarily,happy birthday,matter,hope,catchy description,compilation,birthday,garbage
136	ca,romantic,mariah,carey,mariah carey,electronic,upbeat,clean,panic,room
137	love,alex,goodness,renaissance,transitions,szn,uhhh,sweet,xx,goosebumps
138	chill,acoustic,mayer,love,relax,sheeran,mood,thing,ed,john mayer
139	chill,cherry,cherry wine,wine,wit,loving,electronic,february,bops,finger
140	hiking,shred,queen,alternative,phase,girl,mellifluous,honey,festival,soft
141	sweet,settle,happy,sweet sweet,soft,boy bands,se,eras,homesick,fans
142	mixed,car,rock,life,ride,kids,foster,start,pumped,car ride
143	beatles,paul,oldies,beatlemania,happy,wallflower,perks,george,sir,rock band
144	love,heart,remind,love love,breathing,simp,sunday,wonderful,morning,thinking
145	love,sappy,butterflies,disclaimer,chase,gross,obsessed,memories,är,reminisce
146	twitter,youtube,chill,instagram,jack,rain,progress,playist,vibing,titty
147	love love,love,cover image,cover,beautiful,women,image,vids,boy bands,eras
148	chill,vibe,chill vibe,ass,fox,bad,thing,chill chill,paige,drift
149	chill,car,listened,fire,bit,type,sick,relax,lil bit,fun
150	love,floor,hand,world,space,sweet,moon,hey,ca,girl
151	freedom,baby,saved,español,free,relax,français,ear,svenska,english
152	picks,tbt,high school,reception,study,games,work,girl,booty,high
153	rainy,sophomore,full,chris,assortment,epic,falling,lovesick,dj,acoustic
154	ariana,grande,ariana grande,love,shower,tori,follow,kelly,single,katy perry
155	girl,head,acapella,moon,february,ideas,smile,singing,cute,dance
156	happy,happy happy,bunch,singing,car,pump,description,dance,mood,imagine
157	hope,tired,jordan,en,anniversary,vie,la vie,cars,sleepy,rose
158	sad,cry,chill,gloomy,happy,sad happy,relax,hymns,soft rock,lyrics
159	october,bbq,road,shared,friend,lyrics,curated,cover,leaves,featuring
160	love,adj,sick,ethan,oc,world,art,slow,quick,vibin
161	stop,wanderlust,rest,radio,1st,dancing,skip,feelings,wedding,slowly
162	pop,living,literally,gentle,poor,listened,company,collected,pride,meh
163	country,love,classic,classic country,party,yee,classics,road,country classics,country love
164	soul,meditation,ben,soothe,event,mis,dads,multiple,se,eras
165	chill,sad,creepy,id,singer,relax,vibe,stars,easy,fml
166	red,light,mi,cars,star,amor,march,drivin,blue,wen
167	january,morning,slow,thrive,bye,adding,seek,dreams,april,art
168	ny,är,den,augusti,festival,signature,sober,pride,vision,hitta spellistor
169	tbh,rn,aka,dead,obsessions,main,gym,angel,kinda,lifestyle
170	y2k,spent,nicole,august,waves,birthday,projects,july,high,thousand
171	essence,classics,instrumental,early,picks,late,renaissance,sound,hear,choral
172	love,sad,rock,girls,indie,heart,girl,cover,sounds,dreamy
173	rock,alternative,fresh,rocking,world,groovy,bands,queen,fresh start,uk
174	mixtape,remind,soft,loved,asf,explanatory,writing,chill pill,nick,past
175	june,chill,man,leaves,ca,october,catchy,august,vibe,end
176	sweet,sound,hope,april,relax,hear,peace,catchy,based,peachy
177	chill,gazing,10th,drift,star,star gazing,relax,vibe,driving,sad sad
178	happy,home,share,june,coast,offer,today,end,xd,experimental
179	chill,bit,created,taking,study,pill,bland,flavor,chill pill,plain
180	throwback,throwbacks,childhood,school,nostalgia,disney,middle,middle school,dance,oldies
181	odd,adams,road,weed,road trip,spring,trip,thoughts,change,eve
182	chillin,friyay,frick,chiller,edm,fresh,sad,fired,christina,exclusively
183	kid,ill,alternative,takes,city lights,alternative pop,lived,lights,emo,specific
184	sexual,hoe,water,sex,catch,sensual,bath,cryin,girl,fu
185	halloweenie,august,ten,rap rap,update,mellow,graham,july,numb,bumpin
186	lovey,dovey,laying,rachel,study,spring,caroline,paris,seventeen,lovey dovey
187	love,remind,sweetheart,found,mixtape,la,maggie,floating,discoveries,forget
188	workout,twerkout,workout twerkout,beans,black,tomorrow,ooooh,featuring,kodak,kanye
189	pop,updated,chill,september,october,august,moment,curated,electronic,thoughts
190	chill,bops,memories,college,dig,vibez,bro,july,fuel,june
191	game,life,high,bop,car,bops,bumpin,spice,livin,updated
192	wavy,driving,lonely,misc,planet,jordan,girl,motivated,family,vibrations
193	pls,sleep,world,brooklyn,object,white,lungs,august,wandering,study
194	cry,single,adele,extreme,emo,shower,calm,assignments,ye,homework
195	rap,hop,chill,hip,hip hop,progress,catchy,lonely,small,chicks
196	dinner,party,realize,windows,cover,dinner party,wrong,type,image,driving
197	pop,edm,chill,house,life,dance,june,summa,studying,party
198	covers,cover,chill,original,lyrics,classic,hurry,classic rock,study,work
199	check,escape,aka,happy,nick,cover,womb,november,album,event
200	rock,indie,alt,chill,alternative,indie rock,road,garage,alt rock,alternative rock
201	cover,power pop,love,rock,pop,road trip,power,road,trip,tillfällen på
202	progressive,follow,french,house,rest,touch,break,obsession,punk,bangers
203	sunday,lazy,easy,winter,sundays,blend,al,cold,nights,background
204	upbeat,chill,happy,indie,spring,drive,alt,car,windows,mood
205	mind,love,hope,unwind,march,hey,memories,remind,endless,sucks
206	love,chill,sad,life,wedding,rainy,relax,soft,happy,stars
207	happy,dance,sing dance,happy happy,sing,purely,tired,weather,lift,hope
208	mindless,alt,ultimate,variety,february,blake,lil,wild,listened,skip
209	upbeat,alternative,indie,indie pop,dance,bops,folk,school,fun,rock
210	chill,biggie,chill pill,due,art,guy,official,stay,iv,concert
211	happy,party,dance,world,celebrate,moods,daze,takes,wedding,july
212	sleep,early,world,trouble,march,lost,reality,goodies,judge,sleeping
213	arctic,monkeys,arctic monkeys,isabella,idk,issues,magic,daddy issues,low,aug
214	dinner,breaks,incubus,fuego,romance,select,reception,pretty,adams,wonderful
215	pop,car,february,repeat,sweet,rnb,jammin,senior,happy happy,fun
216	moody,makeout,cry,sexy,focus,calm,daddy,live,father,spicy
217	chill,folk,love,indie,happy,acoustic,indie folk,mellow,start,soft
218	love,simp,sad,generally,bread,today,hurt,min,blessing,sad boy
219	road,chill,beach,vibe,chillin,jack,california,minute,sunday,update
220	love,winter,chill,pop,life,road trip,dream pop,march,heart,sound
221	chill,september,fast,house,easy,sick,power,chill study,move,study
222	camping,relive,pretty,eyes,soul,stockholm,stare,grab,soul food,amazing
223	rollercoaster,couple,emotional,free,emotions,endless,muse,vibe,lil,hope
224	holiday,trip,road,dinner,contribution,nina,party party,jammin,world,road trip
225	rap,school,hip hop,hip,hop,classics,chill,rap rap,2pac,classic
226	love,rock,spring,hours,early,bowie,mad men,wes,road,complicated
227	pride,love,girls,women,femme,pop,woman,badass,world,learned
228	alice,disney,glass,wop,dads,multiple,se,eras,homesick,fans
229	clean,happy,hate,moods,hip hop,rides,bc,running,car rides,occasional
230	memories,namaste,miles,rach,filled,yoga,desire,loved,daily,nick
231	chill,happy,compiled,male,pretty,reading,tired,changing,lot,kim
232	house,deep,techno,party,chill,electronic,dance,electro,smooth,sweat
233	drives,sophie,vibe,highschool,title,nope,drive,nostalgia,vibey,baby
234	love,chill,ps,shmood,grow,man,face,ears,simp,rose
235	pretty chill,jazz,adding,shake,ice,ratchet,hey,slaps,paradise,donald
236	occasions,low key,man,low,cole,flow,key,die,vids,boy bands
237	petty,classic,george,roots,celebrating,legendary,air,sweaters,sons,happy birthday
238	chill,extreme,pill,free,air,tired,nashville,car ride,chill pill,car
239	lyrics,listened,wake,beat,gal,summary,amy,la la,david,sauce
240	chill,frank,rap,chill rap,vibe,june,ocean,lowkey,hip hop,frank ocean
241	change,cuz,teenage,fever,taste,spring,sampling,funny,bit,assortment
242	red hot,hot chili,peppers,pick,basic,chili,red,orange,sophia,hot
243	electric,birthday,created,xo,focus,slow,sweet,miss,built,deep focus
244	arabic,israeli,funk,updating,created,disco,sick,show,personal,brazil
245	road,da,emotional,singing,alive,bad,alec,cruisin,soul,rolled
246	fun,catchy,pop,gaming,work,workout,life,dance,running,warm
247	happy,jammin,road trip,hope,talk,stomach,uplifting,road,valentine,case
248	ca,sing,idk,synths,beans,included,drums,words,maria,mike
249	ca,bops,pop,calm,love,june,genre,dig,likey,gold
250	ecstasy,april,love,marry,february,esketit,se,eras,homesick,fans
251	yoga,records,flow,yoga flow,trip,world,panama,evening,costa rica,vibe
252	love,moment,dancing,wheel,love love,simple,nov,singing,bring,silly
253	high school,high,ride,senioritis,car ride,rap pop,school,upbeat,boomin,poppin
254	chill,love,sivan,troye,troye sivan,art,listened,mind,nostalgia,bops
255	groups,capella,instrumental,instrument,full,acapella,hymns,instrumental worship,worship,voice
256	cruising,friend,smith,black,cream,wearing,listened,act,beach,bops
257	calm,soft,rachel,relax,emotions,hey,august,status,van halen,pretty girl
258	march,explain,forever,american teen,april,vibez,memories,teens,extremely,kno
259	chill,lyrics,fast,love,pizza,cry,weird,slow,depressing,relax
260	cover,pop,party,hottest,indie,daily,dance,mood,weekend,happy
261	lana,love,life,aka,rey,queens,girl,shower,ray,melanie
262	start,funky,july,ready,perfection,title,soundtrack,chill house,god,soulful
263	happy,spring,dance,ca,stay,photo,forget,disco,direction,mood
264	sing,cute,upbeat,story,filled,hope,jordan,litt,hype,fun
265	chase,olivia,hope,kick,start,gems,school,maddie,boy bands,eras
266	alt,chill,soundtrack,dig,pill,chill pill,dark,relax,slow,bomb
267	coldplay,andrew,chill,belle,sleep,sets,heart,kno,dream,father
268	rap,hop,kanye,hip hop,hip,hype,kendrick,chill,west,kanye west
269	sis,hope,miss,mom,similar,cars,homesick,fans,event,wop
270	absolute,november,picks,love,april,nostalgic,happened,trash,slow,se
271	april,period,feelings,assortment,bangers,drive,soundiiz,high,car,questions
272	whistle,work,chosen,radiohead,editing,enjoyed,beautiful,collab,experiences,listened
273	relax,noice,hard,significant,smooth,maroon,meets,ca,silk,study hard
274	eyes,sunday afternoon,inspiration,general,personal,super,drive,nostalgia,relaxing,afternoon
275	watsky,love,zach,car,kinda,thought,picture,emma,fun,thing
276	chill,spring,house,party,chainsmokers,smooth,sia,fresh,world,edm
277	california,dreaming,chill,california dreaming,state,friend,home,beach,move,act
278	chill,study,instrumental,studying,instrumentals,jazz,hop,vibe,mellow,calm
279	sad,world,reminds,lyrical,gems,beautiful,bc,ta,add,easy
280	happy,birthday,angst,life,hate,teen angst,teen,soft,february,love
281	happy,windows,sunny,thought,mimosas,happiness,eyes,driving,catchy,fam
282	thought,em,love,ab,homework,gross,sarah,breezy,wop,se
283	indie,live,rock,remind,trip,folk rock,casual,hour,alt,slip
284	love,jason,message,lily,love love,cheesy,worry,alec,remind,felt
285	indie,dark,rainy,deeply,melodic,atmospheric,rowdy,forget,bleh,imagine
286	bunch,flower,bro,bs,inside,july,boy,definition,totally,sweet sweet
287	mello,musical,mellow,hair,cut,july,talent,wild,eating,lorde
288	june,beginnings,max,windows,october,volume,beginning,windows rolled,feelings,full
289	love,sad,eighteen,lazy,sway,wen,updated,version,drama,straight fire
290	morning,love,acoustic,mind,journey,cry,smith,colors,beautiful,soothing
291	chillax,twin peaks,ordinary,lead,twin,peaks,stop,idea,thinking,content
292	90s,throwback,2000s,bands,boy,pop,boy bands,early,remember,early 2000s
293	mess,vids,boy bands,multiple,se,eras,homesick,fans,event,wop
294	strange,life,game,game life,soundtrack,storm,indie,mind,calm,thinkin
295	girl,hey,swear,god,hey girl,life,organize,funeral,moved,composed
296	chill,trust,vibe,soul,person,holy,compiled,honest,radio,june
297	mgmt,ass,show,daddy,sit,original,man,blue,cho,portugal
298	party,home,finally,endless,dog,popular,walk,celebrate,slytherin,loved
299	bieber,justin,justin bieber,biebs,fever,jb,car,baby,role,god
300	sleep,chill,love,mellow,winter,sleepy,sad,sounds,cry,slow
301	classics,folk,chill,acoustic,rock,bob dylan,dylan,oldies,bob,autumn
302	relatable,cozy,whistle,vids,mis,multiple,se,eras,homesick,fans
303	grime,rotation,champion,biggest,cuts,uk,du,sounds,ting,british
304	reasons,show,ca,order,drifting,selena,future,past,photo,soundtrack
305	wattpad,game,character,klance,inspiring,account,repeat,progress,writing,humans
306	på,för,den,hitta,spellistor,hitta spellistor,på tunigo,tillfällen på,tillfällen,alla tillfällen
307	edm,house,electronic,chill,dance,bass,trap,gaming,dubstep,party
308	hour,christine,clean,personal,alabama,queens,tame impala,coachella,variety,ap mob
309	chill,relax,vibe,emotional,words,slow,alternative,guy,bring,brightest
310	stop,musician,soundtracks,arts,junior,adams,fast,moves,contributed,biggest
311	sad,chill,love,hope,cry,lyrics,hurt,life,february,iiiii
312	spring break,car rides,lounging,laid,break,dancing,wrong,american,jan,atm
313	pop,party,dance,love,fun,school,workout,family,meghan,upbeat
314	band,women,married,wine,cheese,left,exist,add,taste,party
315	classical,century,brilliant,garage,works,common,dozens,brass band,cover,expanding
316	season,cold,singer,alternative,prepared,ultimate,holiday,pop rock,selected,cold weather
317	recently,icon,art,basic,moved,california,dreamin,september,idk,loved
318	bug,crying,cry cry,inspired,church,king,ass,cry,legacy,jr
319	coachella,city,girl,save,lineup,ready,acl,firefly,drowning,funeral
320	rare,audio,bands,scenes,influential,documentaries,vids,wop,se,eras
321	dance,spicy,miss,april,eyes,blue,bops,god,cocaine,wop
322	car,explains,xo,sing,vincent,caught,moment,eras,homesick,fans
323	electronic,indie,check,disclosure,trip,road,vibing,skin,funky,beatz
324	summed,taste,jay,vids,wop,se,eras,homesick,fans,event
325	sleep,sounds,study,instrumental,ambient,focus,relax,chill,words,calm
326	hot,pop,chill,morning,indie pop,weather,indie,butterflies,heavy,late
327	90s,2000s,pop,hall,adventure,longer,solid,cd,80s,alt
328	bump,sad,yung,mind,af,lean,duh,boys,trap,trap rap
329	funk,samples,soul,sampled,funky,jazz,band,lot,oldies,sunday morning
330	reminisce,dope,easy,finals,kayla,mind,dec,holidays,vids,dads
331	spanish,español,en,la,canciones,para,reggaeton,latin,en español,el
332	leaves,season,remind,plz,sounds,autumn,avoid,star,swallow,love
333	berlin,point,uptown,funk,spirit,ai,party,klezmer,homesick,dads
334	friend,suggestions,dads,multiple,se,eras,homesick,fans,event,wop
335	emotions,thinking,meghan,sarah,producer,page,exclusively,soundtrack,divas,dancing
336	gay,extreme,quick,big,sad,probs,esketit,homesick,fans,event
337	chill,love,oof oof,oof,vids,boy bands,multiple,se,eras,homesick
338	rap,rhymes,candy,thought,tbd,realized,ice,sunday candy,window,designed
339	chill,monthly,september,soft,august,october,cover,straight,indie,indie chill
340	love,wedding,hope,life,chill,remind,forever,heart,sunday,special
341	eye,cute,thought,sense,arm,broken,wip,thing,literally,alternative
342	babygirl,vibe,gucci,september,man,listened,baby girl,baby,break,fam
343	yellow,mood,tiger,easy,chill mood,kiwi,sunday,cry,sunday mornings,mellow
344	sleep,nap,classical,mom,study,guitar,wine,slow,brooding,dinner
345	lubba dub,dub dub,spooky,lubba,oct,happy,wubba lubba,wubba,schwifty,dub
346	party,dance,sing,white,turnt,fail,wedding,happy,school,psyched
347	lost,depressed,won,war,steve,world,sad,wake,speak,relax
348	cover,punk,rock,metal,addicted,emo,loud,welp,rock hard,core
349	chill,rap,chillin,neon,hoe,feelings,editing,orange,rich,dark
350	magic,season,trance,trip,night,mission,fill,related,progressive,christmas
351	unrequited,smooth,feelings,lil,kick,vids,boy bands,homesick,fans,event
352	love,parken,putte,remind,vids,fans,mis,dads,multiple,se
353	sheeran,car,ed,ed sheeran,cuba,cole,vids,cars,homesick,fans
354	love,singer,romance,al,soul,nwa,baby,falling,pretty,calm
355	celebrate,voice,april,instrument,man,round,god,bit,soundtrack,precious
356	bump,dancy,yoga,youth,drunk,dance dance,swing,high,brunch,solstice
357	sleep,chilllll,happy,productive,nostalgia,relax,esketit,homesick,fans,event
358	kpop,korean,love,cover,bts,pop,groups,slow,exo,ballads
359	weekend,vampire,roots,boat,ride,vampire weekend,supposed,eras,fans,adrenaline
360	show,series,life,cover,rose,soundtrack,television,upbeat,dance,cruise
361	soul,love,slow,rnb,edition,soundtrack,chill,beautiful,amazing,black
362	alex,ca,mess,love,madness,words,edits,happy,youtube,dan
363	spacey,ease,thought,work,studying,swear,gorillaz,drawing,start,edgy
364	tv,sweet,dedicated,shows,grateful,thankful,inspiration,aussie,series,stella
365	radiohead,acoustic,dawn,rain,peel,dusk,legendary,bowie,legacy,dj
366	catchy description,strange,catchy,easy,description,ears,life,se,eras,homesick
367	happy,road,beach,mood,dance,happy happy,stay,booster,mood booster,windows
368	single,hard rock,wandering,catchy description,stream,russian,rock hard,player,start,rock indie
369	road,trip,work,road trip,emoji,diversity,bear,dedicated,break,4th
370	pop,chill,workout,catchy,party,spring,break,2k17,work,happy
371	love,warm,drive,point,repeat,windows,bit,smile,dance,jack
372	thinking,trash,tf,vids,wop,multiple,se,eras,homesick,fans
373	classical,piano,study,instrumental,movie,soundtracks,scores,works,world,focus
374	morning,original,currents,soundtrack,breakfast,sunday,bed,life,sunday morning,sundays
375	updated,june,august,october,cover,july,september,deserve,indie,windows
376	paramore,deep,emotions,hayley,williams,sad,features,se,eras,homesick
377	heat,cheese,coffee,electronic,cozy,pal,beat,indie alt,relax,bops
378	christmas,season,merry,holiday,merry christmas,wonderful,classics,cheer,classic,xmas
379	hip hop,hip,hop,function,kickback,bringing,timeless,valentine,pleasers,friendsgiving
380	sweet,empty,experience,anxiety,dreams,sweet dreams,emotion,homework,stress,waking
381	poems,minute,leave,springtime,miss,spring,vids,multiple,se,eras
382	junior,hope,spice lattes,october,survive,spice,happening,melancholy,lovers,genres
383	remind,birthday,17th,bro,esther,happy,vids,wop,se,eras
384	love,hope,birthday,yeah,lovely,apollo,nov,kinda,embarrassing,capsule
385	love,worked,food,love love,order,hard,theme,title,wop,multiple
386	pop,vids,boy bands,dads,multiple,se,eras,homesick,fans,event
387	sad,love,acoustic,sleep,emo,hope,bad,world,punk,planet
388	jimmy,march,oscar,cover,award,watch,abc,jenny,sending,eve
389	january,february,april,inspired,mac,room,loved,october,soundtrack,bangers
390	hypnotic,chill,groovy,light,chillax,mood,energy,vids,homesick,fans
391	boys,beastie boys,beastie,primarily,xavier,hardcore,jz,town,crazy,chill
392	spooky,amazing,love,bands,finest,work,hipster,blanket,forward,genesis
393	car,sing,upbeat,carpool karaoke,shirt,point,easy,comfort,dancing,ski
394	breakfast,dance,smile,laugh,joy,jump,se,eras,homesick,fans
395	folk,indie,americana,cover,roots,bluegrass,chill,indie folk,soul,rock
396	klance,bops,love,senior,drama,july,judge,kids,dis,parties
397	rap,pumping,party,hype,oxygen,blood,pour,slow,fun,guaranteed
398	punk,classic,rock,punk rock,hardcore,american,british,love,ska,life
399	freestyle,mixtape,party,mom,miami,moms,memories,bother,kids,eve
400	western,soundtracks,laura,classical,movies,bye,balance,bad,films,writing
